Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-11-09,,,,,,,3.3308,0.50815,9.6058,13.6413,6.54186,14.50886,17.15114,27.42088,29.452,15.34153,15.51521,23.38994,28.11992,23.79619,15.91782,4.82211,,
2019-11-10,,,,,,,,4.71047,18.51219,29.21586,23.73176,29.6846,30.3082,22.43659,15.67502,18.21196,21.95142,20.0308,15.33218,2.1112,,,,
2019-11-11,,,,,,,,3.07071,5.47565,10.3254,3.69265,8.82198,12.46352,3.82998,7.43596,11.68373,8.79107,11.84771,8.3624,15.0749,5.60957,,,
2019-11-12,9.9456,9.9456,9.9456,1.51807,,,0.59256,6.26648,23.26454,35.435,27.90082,32.80972,16.87516,20.00837,14.10878,17.09348,18.59003,25.21373,15.92509,16.69751,11.18345,5.2818,5.2818,8.46873
2019-11-13,,,,,,,0.4042,9.5302,8.88732,19.20009,18.46365,22.99784,26.43992,22.79304,12.40661,5.72563,19.77358,13.9747,3.9447,0.71982,3.5304,0.43989,,
2019-11-14,,,,,,,1.93719,3.90638,8.89323,21.24087,38.03419,33.9164,25.73631,26.07133,25.36805,21.90747,19.88424,13.79682,21.24197,14.22591,3.0876,0.82336,,
2019-11-15,,,,,,,,,11.55761,35.45786,27.76042,33.46228,42.25882,29.20269,13.16219,17.00489,13.18431,19.18815,23.1847,21.68615,19.32188,3.36052,,
2019-11-16,,,,,,,,4.60061,4.3821,12.16048,8.18362,12.84412,7.06034,6.60606,8.01858,4.36417,3.38742,11.60579,17.1654,12.72425,8.9766,3.9361,1.464,
2019-11-17,,,,,,,,0.91809,18.21542,24.14448,16.57719,9.5127,7.44831,4.6097,10.518,8.86007,4.92372,1.21115,5.2182,5.2182,2.43516,,,
2019-11-18,,,,,,2.2077,4.91715,3.8492,29.04456,47.33233,47.69161,38.63208,34.40141,35.27964,21.7752,11.4177,11.07914,10.2836,3.71183,3.1554,0.68367,,,
2019-11-19,3.22536,,,,,,2.84425,12.40941,16.68518,26.3441,22.17036,23.83525,19.30459,20.73123,18.58792,17.88911,18.2781,16.32286,18.65434,16.94649,17.5848,16.073,15.2706,12.3699
2019-11-20,2.9922,2.94233,,,,1.56178,3.0228,10.4138,14.33968,21.34133,24.95594,19.61616,10.5304,20.99845,24.86105,24.20601,21.8056,15.13499,18.29316,13.12298,4.30044,2.9922,2.9922,2.9922
2019-11-21,,,,,,,2.46096,6.847,12.59971,21.57996,28.59174,15.60206,15.71854,25.1056,26.42668,28.22185,20.81913,13.59526,17.40583,14.23864,8.29656,10.995,8.06712,1.83456
2019-11-22,7.773,5.05524,1.50878,,,,0.58758,10.07193,24.1315,30.14299,23.08717,15.13127,36.16691,47.85992,35.25677,38.68482,20.59269,8.82711,13.5933,8.2839,11.5528,7.20528,8.7145,7.773
2019-11-23,6.1344,6.1344,6.1344,6.1344,6.1344,3.37392,,,0.8916,7.80598,13.87173,28.66078,28.99022,25.83444,15.46082,13.0315,8.31443,27.91979,42.002,23.00793,15.00016,15.83128,8.43868,6.1344
